"prefix","code","course name","description","credit hours","prereqs","coreqs"
"ANTH","400","Readings in Anthropology","Problem-oriented directed readings in anthropology.","1-6","",""
"ANTH","403","Archaeology and History of Mesopotamia","(See HIME 400 .)","3","",""
"ANTH","406","Taphonomy","(See EEPS 406 )","3","",""
"ANTH","409","Advanced Collections/Curation","Assist in all phases of accessioning and curation in the UTK Donated Skeletal Collection, with emphasis on professional development, independent research, and logistics.","1","ANTH 329 and ANTH 480",""
"ANTH","410","Principles of Cultural Anthropology","Exploration and illustration of major concepts, theories, and methods in cultural anthropology, with application to analysis of specific ethnographies.","3","ANTH 130 or ANTH 137",""
"ANTH","412","Ethnographies of Trauma","The concept of trauma has played a central role in many public discussions, especially those having to do with violence and suffering. With psychoanalytic roots, various political uses, connections to language and memory, and steeped in narratives of pain and suffering, trauma is something around and about which anthropologists consistently write. In this course, we will investigate trauma ethnographically, studying the ways in which the concept has been approached and written about (sometimes the ways in which as a concept/word it is left out although we might have expected it), and what this tells us about the human condition, politics, power, and life-worlds today. This course is a foray into psychological anthropology, making sense of the space and connections between collective social life and personal/emotional/psychic experience.","3","ANTH 130",""
"ANTH","413","Dynamics of Health and Illness","Socio-cultural dimensions of health, illness, health care systems, and the body. Includes examination of global epidemics and health issues related to disasters. Overview of methods and theories in medical anthropology. With a writing focus, this course requires a student to complete at least 2,000 words of writing during the semester. This normally consists of at least one sustained formal essay or report of 1,000 or more words, plus additional writing assignments such as in-class essay exams, journals, book reviews, short-response papers, and the like.","3","",""
"ANTH","414","Political Anthropology","Examination of the organization and dynamics of power and politics in both stateless and state-level societies. The role of symbols, rituals, and ideologies in producing and reproducing power relations. The relationship between actors (individuals) and structures. The encapsulation of traditional political forms and systems within modern states. With a writing focus, this course requires a student to complete at least 2,000 words of writing during the semester. This normally consists of at least one sustained formal essay or report of 1,000 or more words, plus additional writing assignments such as in-class essay exams, journals, book reviews, short-response papers, and the like.","3","",""
"ANTH","415","Environmental Anthropology","Overview of theoretical and methodological approaches to the study of human/environmental interactions. Impacts of environmental change on society and culture; human impacts on environmental change.","3","",""
"ANTH","416","Engaged Anthropology","Explores how applying principals, methods, and ethics of anthropology can have real impact in everyday life and work to address contemporary social problems in non-academic settings. Addresses applied, public, and activist dimensions of anthropology.","3","ANTH 130 or ANTH 137",""
"ANTH","418","Ethnographies of Trauma","The concept of trauma has played a central role in many public discussions, especially those having to do with violence and suffering. With psychoanalytic roots, various political uses, connections to language and memory, and steeped in narratives of pain and suffering, trauma is something around and about which anthropologists consistently write. In this course, we will investigate trauma ethnographically, studying the ways in which the concept has been approached and written about (sometimes the ways in which as a concept/word it is left out although we might have expected it), and what this tells us about the human condition, politics, power, and life-worlds today. This course is a foray into psychological anthropology, making sense of the space and connections between collective social life and personal/emotional/psychic experience.","3","ANTH 130",""
"ANTH","419","Anthropology of Human Rights","Overview of the development and global spread of modern human rights concepts and instruments, with intensive focus on problems of universal rights, cultural relativism, and the anthropological study of specific human rights issues such as terror, torture, and violence against women.","3","ANTH 130 or ANTH 137",""
"ANTH","420","Disasters","Examines how anthropological approaches and research can play a vital role in disaster prevention, preparedness, and response using communities in crisis as our foci of discussion. Will examine the topic of disasters from both an analytical and case studies approach.","3","ANTH 130 or ANTH 137",""
"ANTH","421","Refugees and Displaced People","Examines historical and contemporary issues facing refugees and displaced people worldwide from socio-cultural and human rights perspectives. Topics addressed include the theory, methods, and ethics of research with refugees and displaced people, international legal frameworks, the role of culture, political dynamics of refugee movements and internal displacement, and critical approaches to humanitarian responses.","3","",""
"ANTH","422","Anthropology of Global Inequality","Survey of the study of global inequality, exploring the problem of inequality through a range of theoretical and ethnographic accounts in anthropology and related disciplines. Emphasis on poverty and structural inequality in the contemporary world in relation to neoliberalism, globalization, and climate change.","3","ANTH 130 or ANTH 137",""
"ANTH","423","Feminist Anthropology","Introduces debates and perspectives in the anthropological study of gender and gender relations. Examines different approaches to the study and conceptualization of gender across the globe, with a focus on how gender and sexuality are related to other social practices and categories, including ethnicity and race, socioeconomic status, nation, citizenship, etc. The course fosters an appreciation for the rich diversity of human practices and beliefs connected to gender in the U.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"ANTH","424","Queer Anthropology","Queer anthropology, a field that was established out of various older fields in the discipline   anthropology of gender, anthropology of sexuality, lesbian and gay anthropology   emerged as a response to calls in other disciplines to move beyond binaries and dichotomies, identities, categories, and assumptions of fixity in order to study gender and sexuality in ways that can establish new understandings of the relationship between the two concepts as well as their relation to wider fields   the political, the social, the cultural, and the economic. Within this response was an emergence of many queer ethnographies that detailed the worlds of queerness in multiple spaces, places, and locales. In this course, we will be reading and discussing queer ethnographic texts as well as samples from other genres and disciplines in order to think queerly about the world.","3","ANTH 130",""
"ANTH","425","Humanitarianism","Provides a critical survey of theoretical and ethnographic studies of modern humanitarianism, with particular emphasis on the relationship between humanitarianism and cultural, economic, and political orders associated with global capitalism. Explores critical questions around democracy, development, human rights, and social justice in relation to the ideologies and practices of humanitarianism.","3","",""
"ANTH","426","Decolonization","This course will be a deep dive into the histories, philosophies, and praxis of decolonization. We will investigate colonial histories across the globe, the writings of major participants in decolonization movements, and contemporary settler colonialisms and resistance against them.","3","",""
"ANTH","429","Anthropological Field Recovery","Assist in recovering skeletal material prior to processing and final curation. Proper methods of scene documentation and recovery will be mastered.","1","ANTH 229 and ANTH 480",""
"ANTH","430","Fieldwork in Archaeology","Practicum work in archaeological data recovery and analytical techniques.","3-9","ANTH 120 or ANTH 127",""
"ANTH","430R","Fieldwork in Archaeology","Practicum work in archaeological data recovery and analytical techniques.","3-9","ANTH 120 or ANTH 127",""
"ANTH","431","Isotope Ecology","This new course will give graduate students and advanced undergraduates a thorough background in the principles and applications of stable isotope analysis in archaeology, ecology, and paleontology.","3","",""
"ANTH","432","Anthropology of Warfare, Violence, and Peace","Origins and tactics of warfare; overview of cultural foundations and impacts of warfare and nonviolence; distinctions among aggression, conflict, violence, war; dynamics of militarization and peacebuilding.","3","ANTH 130 or ANTH 137",""
"ANTH","433","Archaeological Laboratory Experience","Assist in one of the Archaeology Laboratories in processing, identifying, curating, and interpreting artifacts and other archaeological materials from sites excavated by UT archaeologists.","1","",""
"ANTH","435","Historical Archaeology Laboratory","Laboratory procedures for the processing, identification, and interpretation of artifacts from historical sites. Artifactual material from historic sites excavated by UT archaeologists will be used for class projects.","4","ANTH 120 or ANTH 127",""
"ANTH","436","Cities and Sanctuaries of the Greek and Roman World","(See CLAS 436 *.)","3","",""
"ANTH","439","Variable Topics in Forensic Center Experience and Practice","This course will expose students to numerous practical applications within forensic anthropology. Repeatability: May be repeated. Maximum 2 hours.","1","ANTH 105 and ANTH 229",""
"ANTH","441","Topics in Cultural Method and Theory","Variable topics focusing on contemporary issues in cultural anthropology method and theory.","3","ANTH 130 or ANTH 137",""
"ANTH","442","Archaeology of the Prehistoric Aegean","(See CLAS 442 *.)","3","",""
"ANTH","443","Archaeology and Art of Ancient Greece","(See CLAS 443 *.)","3","",""
"ANTH","444","Archaeology and Art of Ancient Italy and Rome","(See CLAS 444 *.)","3","",""
"ANTH","446","Archaeological Statistics","(See CLAS 446 *.)","3","",""
"ANTH","449","Computational Social Science","Computational research is now a major part of the social sciences, including anthropology. This course combines lectures with practical tutorials in computational approaches using digital data on cultural change, from ancient to contemporary social media. Students are encouraged to bring a laptop, but no programming experience is required.","3","",""
"ANTH","450","Current Trends in Anthropology","Analytical, integrative review of current directions of research and theory in anthropology.","3","",""
"ANTH","451","Hunter-Gatherers","Examines current literature and thinking about hunter-gatherers worldwide, encompassing archaeological, biological anthropological, and cultural anthropological approaches. Humanity has followed a hunting-gathering way of life for much of its existence and understanding this way of life helps us to understand what it means to be human.","3","",""
"ANTH","452","Paleoindian Archaeology","Examines the archaeological, bioanthropological, linguistic and paleoenvironmental evidence associated with the initial human settlement of the Americas during the Late Pleistocene. The initial human colonization of other parts of the world will also be briefly explored, as will theories and approaches to the study of human migration.","3","",""
"ANTH","453","Public Heritage and Community Archaeology","This seminar-based course explores  who owns the past : how the  past  is constructed and presented by archaeologists; how these archaeological  pasts  differ from those experienced, perceived, and understood by other groups; and how archaeologists can collaborate with other groups and descendant communities to conduct archaeological research (from design to dissemination) that is responsive to the needs of various stakeholders and is relevant to various communities.","3","ANTH 120 or ANTH 127",""
"ANTH","454","Archaeology of the African Diaspora","Historical archaeology of African, North American and Latin American sites relating to the transatlantic slave trade and the experiences of enslaved Africans in the New World from the 15th to the 19th centuries.","3","ANTH 120 or ANTH 127",""
"ANTH","455","Archaeological Foodways","This seminar class is designed to survey the complex behaviors by which humans produce, prepare, present, and consume foods and the various methods used by archaeologists (including paleoethnobotany, zooarchaeology, osteology, residue analysis, and other artifact analyses) to address foodways and larger interpretations of lifeways at archaeological sites.","3","ANTH 120 or ANTH 127",""
"ANTH","457","Senior Honors in Anthropology","Research and writing of the senior honors thesis.","3","ANTH 357",""
"ANTH","459","Selected Topics in Biological Anthropology Applied Area","Applied biological anthropology topics for undergraduate students. Topics may include practical experience or laboratory study of anthropological materials.","3","",""
"ANTH","460","Paleoethnobotany","This seminar class provides advanced undergraduate students a comprehensive understanding of the methods and applications of paleoethnobotany within archaeology, as well as providing some hands-on experience in working with archaeological plant remains.","3","ANTH 120 or ANTH 127",""
"ANTH","461","Archaeological Resource Management","Federal legislation and regulations affecting identification, protection, and management of archaeological resources. Professional ethics and responsibilities and relationship of federal and state agencies, public interest groups, and professional archaeologists in conduct of federally sponsored archaeology.","3","ANTH 120 or ANTH 127",""
"ANTH","462","Archaeology of Europe","Archaeological survey spanning the origins and evolution of human culture in Europe, to the earliest farming villages, social complexity in the Bronze and Iron Ages, and migrations of the Roman and Medieval eras.","3","ANTH 120 or ANTH 127",""
"ANTH","463","Rise of Complex Civilizations","Development of complex societies in Old World from origins of agricultural economics to rise of states. Focus on Mesolithic, Neolithic, and Metal Age lifeways in Africa, Europe, and Asia.","3","ANTH 120 or ANTH 127",""
"ANTH","464","Principles of Zooarchaeology","Basic osteological studies of major vertebrate groups, with emphasis on the aboriginal s use of animals in subsistence and culture. Identification and interpretation of archaeologically derived molluscan and vertebrate remains, with introduction to laboratory use of comparative collections.","3","ANTH 120 or ANTH 127",""
"ANTH","465","Archaeology of the Trojan War","(See CLAS 465 *)","3","",""
"ANTH","466","Archaeology of Southeastern United States","Archaeological research on prehistoric American Indian cultures in Southeastern United States.","3","ANTH 120 or ANTH 127",""
"ANTH","469","Selected Topics in Archaeological Area","Area studies in archaeological topics for undergraduate students. Topics may include practical experience or laboratory study of anthropological materials.","3","",""
"ANTH","470","Anthropology and the Genome","How do studies of DNA and genomes impact our understanding of what it means to be human? What have ancient DNA studies recently revealed abut past and present human relations? This course covers the intersection between genomic science and anthropology. Learn basic population genetics and the molecular (lab) techniques, and discuss relevant themes, such as species and interpopulation relationships, migration and dispersals, personalized genomic testing, gene editing, epigenetics, identity, and ethics.","3","ANTH 110 or ANTH 117 and BIOL 101 and BIOL 102 or BIOL 113 or BIOL 114 and BIOL 115 or BIOL 150",""
"ANTH","471","Vertebrate Osteology","This intensive laboratory course focuses on the examination and comparison of skeletons of major vertebrate groups in North America, including mammals, birds, fishes, reptiles, and amphibians. Focusing on local fauna from the comparative osteological collections in the Anthropology labs, students will learn to identify characteristics of major families of taxa, as well as learning to identify various local species, with emphasis on identifying skeletal remains from archaeological, paleontological, and forensic contexts.","4","ANTH 306 or ANTH 464 or ANTH 480",""
"ANTH","472","Paleopathology","Provides advanced undergraduate students with an in-depth knowledge of how diseases affect the human skeleton and an introduction to evolutionary medicine. The culture-history of each disease provides the context in which diseases first appeared, how they were experienced by individuals, and the cultural impacts of certain diseases, especially infectious diseases, on communities. Laboratory sessions are designed for hands-on examination of the signatures of diseases discussed in lecture.","4","ANTH 110 or ANTH 117",""
"ANTH","474","DNA Lab Methods","Provides advanced undergraduate students with practical experience in basic molecular biology techniques. Combines lectures, interactive discussions, and hands-on wet lab experience. Students will be able to perform and understand the fundamental principles of the most common types of DNA analyses by the course s end.","3","ANTH 110 or ANTH 117 and BIOL 101 or BIOL 102 or BIOL 113 or BIOL 114 or BIOL 115 or BIOL 150",""
"ANTH","479","Variable Topics in Forensic Center Methods and Research","This course explores the current research methods in forensic anthropology with an emphasis on professional development and ethical conduct.","1","ANTH 105 and ANTH 229",""
"ANTH","480","Human Osteology","Intensive examination of the human skeleton.","4","ANTH 110 or ANTH 117",""
"ANTH","483","Evolutionary Biology for Anthropologists","This lecture course provides advanced undergraduate students with a fundamental background in evolutionary biology, both from historical and modern theoretical perspectives.","3","ANTH 110 or ANTH 117",""
"ANTH","484","Museum Studies III: Field Projects1-","(See ART 484 .)","12","",""
"ANTH","486","Introduction to Forensic Anthropology","Introduction to forensic anthropology, the science that utilizes methods from skeletal biology and archaeology as tools in human identification in a medico-legal context. Covers the human skeleton and dentition, methods employed in the estimation of age, sex, ancestry, stature, time since death, and trauma, and working in a medico-legal setting.","4","ANTH 110 or ANTH 117 or ANTH 480",""
"ARAB","121","Elementary Arabic I","Introduction to Arabic.","4","",""
"ARAB","122","Elementary Arabic II","Introduction to Arabic.","4","ARAB 121",""
"ARAB","200","Everything You Wanted to Know about the Arab World","This course will introduce students to various aspects of the cultures and societies of the Arab world, including history, language, customs, food, business, and art. Conducted in English.","3","",""
"ARAB","215","Human Rights in the Middle East","This course will introduce students to the landscape of human rights in the Middle East by examining a wide range of relevant topics, such as refugees and migration, women s rights, and citizenship status. Conducted in English.","3","",""
"ARAB","221","Intermediate Arabic I","Satisfies General Education Requirement through the 2021-2022 academic catalog: (CC)","4","ARAB 122",""
"ARAB","222","Intermediate Arabic II","Satisfies Volunteer Core Requirement: (GCI)","4","ARAB 221",""
"ARAB","231","Arabic for Heritage Speakers I","This course is designed for students who grew up speaking / hearing Arabic at home and wish to develop their academic skills in the language. In this course, students will engage in reading, writing and speaking practice in formal and academic contexts, including the study of the Arabic writing system and relevant grammar topics.","3","",""
"ARAB","232","Arabic for Heritage Speakers II","This course is designed for students who grew up speaking / hearing Arabic at home and wish to develop their academic skills in the language. In this course, students will engage in reading, writing and speaking practice in formal and academic contexts, including the study of relevant grammar topics.","3","ARAB 231",""
"ARAB","251","Whole New Worlds: Fantasy, Sci-Fi, and Dystopia in the Middle East","Examines themes and genres of fantasy, sci-fi, and dystopia in literature, film, and graphic novels from Middle East, in relation to relevant political, cultural, and historical contexts. Taught in English.","3","",""
"ARAB","320","Middle Eastern Film","Examines cinemas of the Arab world, Israel, Iran, and Turkey, with attention to aesthetic and formal elements of films as well as cultural, political, and historical context. Conducted in English.","3","",""
"ARAB","321","The Israeli-Palestinian Conflict in Literature, Film, and Popular Culture","Examines cultural representations of the Israeli-Palestinian conflict, including literature, film, and music, and introduces students to relevant political and historical context. Taught in English.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"ARAB","331","Culture and Daily Life in the Arab World","This course will examine aspects of daily life, customs, traditions, and cultural practices in a number of Arabic speaking countries, while also developing advanced reading, writing, speaking, and listening skills in Arabic.","3","ARAB 222 or ARAB 232",""
"ARAB","332","Contemporary Issues and Current Events in the Arab World","This course will examine current political, economic, and social issues in a number of Arabic speaking countries, while also developing advanced reading, writing, speaking, and listening skills in Arabic.","3","ARAB 331",""
"ARAB","351","Languages of the Middle East and North Africa","This course is a survey of the languages that have been written and spoken in the Middle East and North Africa from 3100 BCE to the present. The course begins with the first attested language, Sumerian, but focuses especially on the Semitic languages such as Akkadian, Hebrew, Aramaic, and Arabic. Each language is situated historically, culturally, and linguistically, including topics such as language and politics, sociolinguistics, and dialectology.","3","",""
"ARAB","415","Topics in Arabic Literature, Language, History, and Culture","Course topic varies. Taught in English.","3","",""
"ARAB","431","Media Arabic","This course focuses on authentic Arabic media, print media, blogs, videos, and computer based material. Activities will include reading/listening news sources for comprehension, in-class discussions of current events in the Arab world, the geo-political situation, different Arab countries  economies, arising social issues and popular culture.","3","",""
"ARAB","432","Introduction to Modern Arabic Literature","This course introduces students to the canonical texts of modern Arabic literature. It focuses on various trends in modern Arabic literature across genres, regions, and national literatures. Making use of film and social media will help students better understand the literary culture of the Arab world. Taught in Arabic.","3","",""
"ARAB","490","Internship1-","Career-related experiences in the United States or abroad.","15","",""
"ARAB","490N","Internship1-","Career-related experiences in the United States or abroad.","15","",""
"ARAB","491","Arabic Foreign Study1-","Repeatability: May be repeated. Maximum 15 hours.","15","",""
"ARAB","493","Independent Study1-","Repeatability: May be repeated. Maximum 15 hours.","15","",""
"ARCH","101","Introduction to Architecture","Architectural design as a creative process based on visual thinking and ideas related to space, technology, and/or place. Scope and definition of the built environment in relation to contemporary society, building industry, and allied design professions. Orientation to courses and programs of the school.","3","",""
"ARCH","102","Visual Design Theory","Principles of visual design, addressing form and space. Exploration of visual ideas through analysis. Introduction of terminology and vocabulary.","2","",""
"ARCH","107","Honors: Introduction to Architecture","Students will attend ARCH 101 classes with supplementary assignments and/or class meetings.","3","",""
"ARCH","111","Architecture and the Built Environment","An introduction to architecture and the built environment for non-architecture majors. Significance of our surroundings, forces that create them. Creative aspects of design. Survey of examples from local to global. Strategies for individual and collective involvement.","3","",""
"ARCH","117","Honors: Architecture and the Built Environment","Students will attend ARCH 111 * classes, with supplementary assignments and/or class meetings.","3","",""
"ARCH","121","Representation I: Visual Logic and Perception","Introduction of analog and digital representation methods in two and three dimensions. Emphasis is on learning how various techniques impact design exploration and visual logic through drawing, visualization, and analysis, including drawing conventions, representational and graphic structure.","2","",""
"ARCH","122","Representation II: Intention and Communication","Exploration of analog and digital representation methods and their relationships to design intent. Emphasis is on developing an understanding of how a variety of media address perceptual phenomena, abstraction, concepts of mapping and diagramming.","2","ARCH 121",""
"ARCH","171","Design I: Spatial Order I","A beginning transdisciplinary studio that focuses on foundations of spatial composition and design. Key concepts include ideation, form, craft, spatial order, and three-dimensional thinking.","3","","ARCH 121"
"ARCH","172","Design II: Spatial Order II","A transdisciplinary studio that focuses on more advanced spatial composition and design. Key concepts include analytical methods, scale, light and shadow, and experience.","4","ARCH 171","ARCH 122"
"ARCH","201","The American City: Citizens of the 21st Century","This course studies cities in the United States situated within a global context. The course is organized thematically, including architecture, planning paradigms, urban design theories, social equity, the economies of growth, the role of infrastructure, urban ecologies, geographies of sustainability and the American connection to land and landscape. A series of American case studies will be presented related to these themes. Understanding the complex evolution of American urbanism from multiple perspectives will help students in the future, as citizens of the 21st century.","3","",""
"ARCH","211","History and Theory of Architecture I","Architecture and ideas of building and community form in major world cultures from the prehistoric era to about 1750 CE.","3","",""
"ARCH","212","History and Theory of Architecture II","Architecture and ideas of building and community form in major world cultures from 1750 CE to the late-20th century.","3","ARCH 211",""
"ARCH","213","Modern Architecture: Histories and Theories","Examines the history and theory of modern and contemporary architecture through broad-based examinations of the questions of modernity and specific case studies of buildings, projects, landscapes and theories.","3","ARCH 212 and ENGL 102",""
"ARCH","217","Honors: History and Theory of Architecture I","Students will attend ARCH 211 * classes, with supplementary assignments and/or class meetings.","3","",""
"ARCH","218","Honors: History and Theory of Architecture II","Students will attend ARCH 212 * classes, with supplementary assignments and/or class meetings.","3","",""
"ARCH","221","Representation III: Digital Workflow","Development of a systemic understanding of representational workflows across multiple platforms. Emphasis is placed on translating between multiple tools, techniques, and design ambitions while leveraging potentials created by computational power.","2","ARCH 122",""
"ARCH","227","Honors: Modern Architecture Histories and Theories","Students will attend ARCH 213 classes with supplementary assignments and/or class meetings.","3","ARCH 212 and ENGL 102",""
"ARCH","261","Tectonics and Stereotomics","Design and expression with structural archetypes. Exploration of distinctions between structure and enclosure. Emphasis on formal ordering systems, spatial implications, and structural concepts. Topics include gravity loads, earth-shaping, massive construction and light frames. Combination lecture and lab format. First half semester course.","2","",""
"ARCH","262","Climatic and Daylight Design","Introduction to design and expression with climate as a context and form-generator. Emphasis on design guidelines and formal ordering. Analysis of climates, selection of site and building design strategies, design for microclimates and enhancing daylighting. Combination lecture and lab format. Second half semester course.","2","",""
"ARCH","263","Design Implementation I: Principles","Design and expression with structural archetypes, energy considerations, and material properties related to walls, floors, point loads, and enclosures. Emphasis on formal ordering systems and essential behaviors, including lateral bracing and load-tracing. Associated interior and exterior construction materials, methods, performance, and detailing. Enclosure strategies including performance (thermal and moisture) and expression. Schematic detailing. Design guideline sizing. Combination lecture and lab format. First half semester course. Contact Hour Distribution: 1 hour lecture, 1 hour lab.","2","ARCH 261 or PHYS 161",""
"ARCH","264","Design Implementation II: Assemblies","Design and expression with structural archetypes, energy considerations, and material properties related to frames, trusses, and more complex organizations and assemblies. Emphasis on formal ordering systems and essential behaviors, including structural and thermal performance. Associated interior and exterior light steel, brick, stone and concrete masonry materials, methods, performance, and detailing. Design guideline sizing. Combination lecture and lab format. Second half semester course.","2","ARCH 261 or PHYS 161",""
"ARCH","271","Design III: Territory I","Contextual determinants in architectural design. Development of alternative design strategies through analysis of a regional territorial condition. Exploration of material, climate, energy, comfort, and experience. Students establish a sense of design agency.","6","ARCH 172","ARCH 221 or ARCH 261 and ARCH 262"
"ARCH","272","Design IV: Territory II","Contextual determinants in architectural design. Development of alternative design strategies through analysis of an extensive territorial condition. Exploration of material expression, structure, and performance. Students further establish a sense of design agency.","6","ARCH 271 and ARCH 221","ARCH 263 and ARCH 264"
"ARCH","321","Representation IV: Information Modeling","Exploration of advanced information modeling programs. Emphasis is placed on learning how the digital model can assist in the design process through the representation of construction and analysis. Content includes the use of building information modeling to predict building performance and to document material properties.","2","ARCH 221",""
"ARCH","361","Design Research in Technology","Input to the architectural design research from a range of technical issues. May include building codes, construction types, cost, fire resistance, area, and bulk, along with comfort parameters, lighting intentions, energy performance targets, energy programming and schedules, etc. Focus on framing the designer s tasks and the technical support of architectural qualities. Supports technical aspects of program development in ARCH 373 *. Combination lecture and lab format. First half semester course.","2","ARCH 262 or ARCH 263",""
"ARCH","362","Schematic Design Technology","Design concepts, form-making and supporting strategies from a range of technical issues in support of studio class projects. Exploration of the implications of technical aspects of program on schematic design. Focus on early design methods to engage design implications of technical knowledge. Combination lecture and lab format. Second half semester course.","2","ARCH 262 or ARCH 263",""
"ARCH","363","Design Implementation III: Systems","Design and expression with structural archetypes, energy considerations, and material properties related to building systems and their interrelationship. Emphasis on formal ordering systems and essential behaviors, including structure to skin relationships. Associated interior and exterior enclosure materials, methods, performance, and high-performance skins. Design guideline sizing and detailed calculations. Combination lecture and lab format. First half semester course. Contact Hour Distribution: 1 hour lecture, 1 hour lab.","2","ARCH 264",""
"ARCH","364","Performative Design I: Passive Systems Design","Design and expression for passive solar heating, natural ventilation, and passive cooling, including collection, storage, distribution, and shading. Introduction to passive systems computer modeling. Supports applications in design studio of projects with simple HVAC in skin-loaded buildings with few thermal zones. Combination lecture and lab format. First half semester course.","2","ARCH 262",""
"ARCH","365","Performative Design II: Active and Hybrid Systems Design","Design and expression with mechanical heating, ventilation and cooling systems, electric lighting and their integration with passive design. Introduction to active systems computer modeling, carbon performance, and on-site renewable power generation. Supports applications in design studio of projects with simple HVAC in skin-loaded buildings with few thermal zones. Combination lecture and lab format. Second half semester course.","2","ARCH 262",""
"ARCH","373","Design V: Applied Research","Understanding the design process through integrated design research. Methodologies includes analysis of site, environment, program, spatial and contextual conditions, user needs, precedent studies, typology, scale, socio-political and cultural influences. Culminates in execution of a comprehensive research document and design project.","6","ARCH 272","ARCH 361 and ARCH 362"
"ARCH","374","Design VI: Systems and Atmospheres","Integration of design determinants emphasizing structure, sustainability, materials, and construction systems with respect to architecture s cultural role. Research and design incorporate technological and ecological systems into the production of experiential conditions.","6","ARCH 373","ARCH 363 or ARCH 364 and ARCH 365"
"ARCH","422","Special Topics in Urban Design","Faculty initiated professional elective involving history and theory of urban form, urban developments, the study of landscape and urbanism, and related issues.","3","",""
"ARCH","423","Special Topics in Interior Architecture","Faculty initiated professional elective involving interior architecture, history and theory of interior design, furniture design, lighting design, acoustical design, and related issues.","3","",""
"ARCH","424","Special Topics in Landscape Architecture","Faculty initiated professional elective involving landscape architecture, history and theory of landscape architecture, ecology, and related issues.","3","",""
"ARCH","425","Special Topics in Architecture","Faculty initiated professional elective in architecture and applied architectural theory.","3","",""
"ARCH","450","Special Topics in History, Theory, and Criticism","Faculty initiated professional elective involving architectural history, theory, and criticism.","3","",""
"ARCH","451","Special Topics in Representation","Faculty initiated professional elective involving representation and graphic communication.","3","",""
"ARCH","452","Special Topics in Sustainable Design","Faculty initiated professional elective involving sustainability and progressive environmental design.","3","",""
"ARCH","454","Special Topics in Materials and Construction","Faculty initiated professional elective that explores materials and construction, the physical development of large-scale, component, or installation construction.","3","",""
"ARCH","455","Special Topics in Digital Fabrication","Faculty initiated professional elective involving fabrication and technology in design.","3","",""
"ARCH","461","Design Development Integrations","Integration and design development of previously studied building systems from a sustainable design perspective, including energy use, passive systems, active systems, construction, lighting, and materials. Performance modeling for structure and carbon targets. Format: Lecture and lab. Projects integrated with studio.","3","ARCH 361 or ARCH 362 or ARCH 363 or ARCH 364 and ARCH 365",""
"ARCH","462","Professional Practice","Management and organizational theories and practices for delivering professional design services. Included are assessment of the building industry and its influence on practice; analysis of the basic management functions within professional firms; and legal and ethical concerns facing practitioners today. Special obligations and privileges of the design professional.","3","",""
"ARCH","465R","Directed Research","With the sponsorship of a faculty member, each student works on a specific topic or project related to that faculty member s area of expertise, research, scholarship, or creative activity.","3-6","",""
"ARCH","467","Honors Seminar: Research | Methods | Case Studies","Seminar comparing and contrasting past and current approaches to research and inquiry particular to a design-based discipline. Approaches may include, but are not limited to, Art Historical, Scientific/Experimental, Observational/Anthropological, Economical/Statistical. Students pursue individual research projects while examining the methods of  the scholarship of design  and  design as scholarship  in the fields of architecture, urbanism, and landscape architecture. Students are encouraged to link historical methods of investigation and current positions of architectural production.","3","",""
"ARCH","471","Design VII: Integrations","Active integration of cultural considerations, programmatic possibilities, and technical exploration and precision as related to the development of an architectural project. Consideration of site-design, life safety, building structure, environmental systems, and high-performance building criteria are addressed within the context of ideas of resilience, regeneration, abundance, and sustainability.","6","ARCH 374","ARCH 461"
"ARCH","472","Design VIII: Cultural Immersion","Advanced research and design projects examining themes of culture, landscape, and territory through travel and off-campus study.","6","ARCH 374",""
"ARCH","474","Advanced Architectural Design: Landscape Architecture I","Introduces students to techniques, concepts, and practices of landscape architecture and landscape planning with particular emphasis on development of representational and communication skills using digital and analog media. Strategic and formal design concepts are introduced as vehicles for the exploration of a wide range of media and techniques for analyzing landscapes, projecting design alternatives, and communicating design ideas.","6","ARCH 471","ARCH 424 or PLSC 320 or PLSC 321"
"ARCH","475","Advanced Architectural Design: Landscape Architecture II","This design studio focuses on issues of space and form in landscape architectural design. Working at small and intermediate scales, students explore contemporary and historical theories of space and form through a range of analog and digital media with a particular emphasis on 3-dimensional modeling. Students work rapidly across several projects in order to explore multiple formal and spatial concepts and practice new techniques.","6","ARCH 474","ARCH 424 or PLSC 210 and PLSC 421"
"ARCH","477","Honors: Independent Study in Architecture","Individual studies and projects under faculty direction, for honors students only. Credit adjusted to complexity and level of effort required.","1-6","",""
"ARCH","478R","Preparation for Self-Directed Diploma Studio","Faculty oversight of student-initiated topic for critical inquiry. Related research on the student-selected topic, context, nature of inhabitation, and applicable precedents results in the synthesis of visual and textual work, including a statement of intent, program, and site for a self-directed project in subsequent semester.","3","",""
"ARCH","491","Foreign Study1","Research and design projects conducted in various locations abroad.","15","",""
"ARCH","492","Off-Campus Study1","Research and design projects conducted in various off-campus locations.","15","",""
"ARCH","493","Independent Study in Architecture","Student initiated, individual studies and projects under direction of faculty sponsor. Credit adjusted to complexity and level of effort required.","1-4","",""
"ARCH","494","Foreign Studies Sketchbook1","Investigations of historic urban fabric and architecture in various locations abroad. Analysis and sketch records in sketchbook format required.","3","",""
